Date,EHUPDE Index
3/31/1992,7.47
6/30/1992,7.57
9/30/1992,7.8
12/31/1992,8
3/31/1993,8.3
6/30/1993,8.67
9/30/1993,9.23
12/31/1993,9.6
3/31/1994,9.7
6/30/1994,9.77
9/30/1994,9.6
12/31/1994,9.33
3/31/1995,9.2
6/30/1995,9.33
9/30/1995,9.5
12/31/1995,9.77
3/31/1996,10.17
6/30/1996,10.3
9/30/1996,10.43
12/31/1996,10.7
3/31/1997,11.23
6/30/1997,11.37
9/30/1997,11.6
12/31/1997,11.73
3/31/1998,11.6
6/30/1998,11.17
9/30/1998,10.8
12/31/1998,10.67
3/31/1999,10.67
6/30/1999,10.53
9/30/1999,10.5
12/31/1999,10.4
3/31/2000,10.13
6/30/2000,9.53
9/30/2000,9.47
12/31/2000,9.33
3/31/2001,9.3
6/30/2001,9.27
9/30/2001,9.33
12/31/2001,9.57
3/31/2002,9.6
6/30/2002,9.67
9/30/2002,9.83
12/31/2002,10.1
3/31/2003,10.47
6/30/2003,10.6
9/30/2003,10.53
12/31/2003,10.5
3/31/2004,10.33
6/30/2004,10.47
9/30/2004,10.63
12/31/2004,10.8
3/31/2005,11.87
6/30/2005,11.87
9/30/2005,11.67
12/31/2005,11.43
3/31/2006,11.4
6/30/2006,11
9/30/2006,10.53
12/31/2006,10.07
3/31/2007,9.47
6/30/2007,9.1
9/30/2007,8.8
12/31/2007,8.5
3/31/2008,8.03
6/30/2008,7.83
9/30/2008,7.63
12/31/2008,7.63
3/31/2009,7.93
6/30/2009,8.27
9/30/2009,8.23
12/31/2009,8.1
3/31/2010,8
6/30/2010,7.73
9/30/2010,7.57
12/31/2010,7.4
3/31/2011,7.3
6/30/2011,7.07
9/30/2011,6.97
12/31/2011,6.83
3/31/2012,6.8
6/30/2012,6.83
9/30/2012,6.8
12/31/2012,6.83
3/31/2013,6.9
6/30/2013,6.9
9/30/2013,6.8
12/31/2013,6.83
3/31/2014,6.8
6/30/2014,6.7
9/30/2014,6.7
12/31/2014,6.57
3/31/2015,6.5
6/30/2015,6.43
9/30/2015,6.33
12/31/2015,6.3
3/31/2016,6.2
6/30/2016,6.13
9/30/2016,6.03
12/31/2016,6
3/31/2017,5.87
6/30/2017,5.73
9/30/2017,5.63
12/31/2017,5.53
3/31/2018,5.37
6/30/2018,5.23
9/30/2018,5.13
12/31/2018,5.03
3/31/2019,5
6/30/2019,4.97
9/30/2019,5
12/31/2019,5
3/31/2020,5
6/30/2020,6.13
9/30/2020,6.33
12/31/2020,6.13
3/31/2021,6.03
6/30/2021,5.93
9/30/2021,5.5
12/31/2021,5.23
3/31/2022,5.07
6/30/2022,5.1
9/30/2022,5.47
12/31/2022,5.5
3/31/2023,5.53
6/30/2023,5.63
9/30/2023,5.7
12/31/2023,5.8
3/31/2024,5.9
6/30/2024,5.93
9/30/2024,6
12/31/2024,6.1
