,CPI,GDP,Unemployment,10Y Yield,stress_level
2021-01-31,0.9,0.1698974597621861,7.758,-0.5325,5
2021-02-28,0.9,0.1698974597621861,7.758,-0.3894,5
2021-03-31,1.3,0.1698974597621861,7.758,-0.3162,5
2021-04-30,1.6,15.2569199532521,7.758,-0.2692,1
2021-05-31,2.0,15.2569199532521,7.758,-0.1652,1
2021-06-30,1.9,15.2569199532521,7.758,-0.2039,1
2021-07-31,2.2,5.113615193250241,7.758,-0.3472,1
2021-08-31,3.0,5.113615193250241,7.758,-0.4603,1
2021-09-30,3.4,5.113615193250241,7.758,-0.3023,4
2021-10-31,4.1,5.55584174366646,7.758,-0.1462,4
2021-11-30,4.9,5.55584174366646,7.758,-0.2525,4
2021-12-31,5.0,5.55584174366646,7.758,-0.3114,4
2022-01-31,5.1,5.475413803490644,6.758,-0.0578,4
2022-02-28,5.9,5.475413803490644,6.758,0.2122,4
2022-03-31,7.4,5.475413803490644,6.758,0.3263,4
2022-04-30,7.4,4.107848151700575,6.758,0.7845,4
2022-05-31,8.1,4.107848151700575,6.758,0.9973,4
2022-06-30,8.6,4.107848151700575,6.758,1.5011,4
2022-07-31,8.9,2.8532558293542265,6.758,1.138,4
2022-08-31,9.1,2.8532558293542265,6.758,1.1013,4
2022-09-30,9.9,2.8532558293542265,6.758,1.8304,4
2022-10-31,10.6,1.959160237599876,6.758,2.2052,5
2022-11-30,10.1,1.959160237599876,6.758,2.0721,5
2022-12-31,9.2,1.959160237599876,6.758,2.1204,5
2023-01-31,8.6,1.4067214091135487,6.567,2.2105,5
2023-02-28,8.5,1.4067214091135487,6.567,2.408,5
2023-03-31,6.9,1.4067214091135487,6.567,2.3961,5
2023-04-30,7.0,0.5657919986067433,6.567,2.3752,5
2023-05-31,6.1,0.5657919986067433,6.567,2.3506,5
2023-06-30,5.5,0.5657919986067433,6.567,2.398,5
2023-07-31,5.3,-0.0274375395232826,6.567,2.4805,5
2023-08-31,5.2,-0.0274375395232826,6.567,2.5673,5
2023-09-30,4.3,-0.0274375395232826,6.567,2.6988,5
2023-10-31,2.9,0.108912304871021,6.567,2.8482,5
2023-11-30,2.4,0.108912304871021,6.567,2.6155,5
2023-12-31,2.9,0.108912304871021,6.567,2.1204,5
2024-01-31,2.8,0.108912304871021,6.504,2.1204,5
